ts,value
2021-01-19T18:00:00.000+04:00,3.5044029
2021-01-19T18:00:15.000+04:00,3.3814611
2021-01-19T18:00:30.000+04:00,3.3518884
2021-01-19T18:00:45.000+04:00,-0.585
2021-01-19T18:01:00.000+04:00,3.4642909
2021-01-19T18:01:15.000+04:00,3.471787
2021-01-19T18:01:30.000+04:00,3.5785933
2021-01-19T18:01:45.000+04:00,3.611221
2021-01-19T18:02:00.000+04:00,3.5182807
2021-01-19T18:02:15.000+04:00,3.5129833
2021-01-19T18:02:30.000+04:00,3.43084
2021-01-19T18:02:45.000+04:00,3.4332619
2021-01-19T18:03:00.000+04:00,3.40296
2021-01-19T18:03:15.000+04:00,3.273746
2021-01-19T18:03:30.000+04:00,3.0618315
2021-01-19T18:03:45.000+04:00,2.9185276
2021-01-19T18:04:00.000+04:00,2.8470464
2021-01-19T18:04:15.000+04:00,2.9144995
2021-01-19T18:04:30.000+04:00,2.8356988
2021-01-19T18:04:45.000+04:00,2.7204566
2021-01-19T18:05:00.000+04:00,2.6534846
2021-01-19T18:05:15.000+04:00,2.7395952
2021-01-19T18:05:30.000+04:00,2.6965005
2021-01-19T18:05:45.000+04:00,2.7307131
2021-01-19T18:06:00.000+04:00,2.6915452
2021-01-19T18:06:15.000+04:00,2.4746096
2021-01-19T18:06:30.000+04:00,2.5461187
2021-01-19T18:06:45.000+04:00,2.4998853
2021-01-19T18:07:00.000+04:00,2.5204222
2021-01-19T18:07:15.000+04:00,2.4275422
2021-01-19T18:07:30.000+04:00,2.2040582
2021-01-19T18:07:45.000+04:00,2.2003834
2021-01-19T18:08:00.000+04:00,2.0715306
2021-01-19T18:08:15.000+04:00,1.9747128
2021-01-19T18:08:30.000+04:00,1.9030436
2021-01-19T18:08:45.000+04:00,1.9107361
2021-01-19T18:09:00.000+04:00,1.6647036
2021-01-19T18:09:15.000+04:00,1.5947595
2021-01-19T18:09:30.000+04:00,1.4928172
2021-01-19T18:09:45.000+04:00,1.2814901
2021-01-19T18:10:00.000+04:00,1.1773918
2021-01-19T18:10:15.000+04:00,1.061936
2021-01-19T18:10:30.000+04:00,-0.3316
2021-01-19T18:10:45.000+04:00,0.83990604
2021-01-19T18:11:00.000+04:00,0.7136593
2021-01-19T18:11:15.000+04:00,0.5485097
2021-01-19T18:11:30.000+04:00,0.6676711
2021-01-19T18:11:45.000+04:00,0.54335713
2021-01-19T18:12:00.000+04:00,0.54328185
2021-01-19T18:12:15.000+04:00,0.42235902
2021-01-19T18:12:30.000+04:00,0.46500254
2021-01-19T18:12:45.000+04:00,0.29322636
2021-01-19T18:13:00.000+04:00,0.3095444
2021-01-19T18:13:15.000+04:00,0.02937069
2021-01-19T18:13:30.000+04:00,-0.4991
2021-01-19T18:13:45.000+04:00,-0.18539622
2021-01-19T18:14:00.000+04:00,-0.3752614
2021-01-19T18:14:15.000+04:00,-0.43726236
2021-01-19T18:14:30.000+04:00,-0.5747851
2021-01-19T18:14:45.000+04:00,-0.5151156
2021-01-19T18:15:00.000+04:00,-0.55523986
2021-01-19T18:15:15.000+04:00,-0.7812438
2021-01-19T18:15:30.000+04:00,-0.7818134
2021-01-19T18:15:45.000+04:00,-0.92483467
2021-01-19T18:16:00.000+04:00,-1.1246936
2021-01-19T18:16:15.000+04:00,-1.3604763
2021-01-19T18:16:30.000+04:00,-1.3167685
2021-01-19T18:16:45.000+04:00,-1.3690565
2021-01-19T18:17:00.000+04:00,-1.5366262
2021-01-19T18:17:15.000+04:00,-1.4483638
2021-01-19T18:17:30.000+04:00,-1.5183554
2021-01-19T18:17:45.000+04:00,-1.596087
2021-01-19T18:18:00.000+04:00,-1.7990447
2021-01-19T18:18:15.000+04:00,-1.6877149
2021-01-19T18:18:30.000+04:00,-1.5765836
2021-01-19T18:18:45.000+04:00,-1.4994373
2021-01-19T18:19:00.000+04:00,-1.615362
2021-01-19T18:19:15.000+04:00,-1.6574442
2021-01-19T18:19:30.000+04:00,-1.7768704
2021-01-19T18:19:45.000+04:00,-1.8484267
2021-01-19T18:20:00.000+04:00,-1.9538996
2021-01-19T18:20:15.000+04:00,-0.3149
2021-01-19T18:20:30.000+04:00,-2.2534418
2021-01-19T18:20:45.000+04:00,-2.1772842
2021-01-19T18:21:00.000+04:00,-2.02309
2021-01-19T18:21:15.000+04:00,-2.0491452
2021-01-19T18:21:30.000+04:00,-2.228137
2021-01-19T18:21:45.000+04:00,-2.2680526
2021-01-19T18:22:00.000+04:00,-2.3722785
2021-01-19T18:22:15.000+04:00,-2.6578016
2021-01-19T18:22:30.000+04:00,-2.7207093
2021-01-19T18:22:45.000+04:00,-2.7131886
2021-01-19T18:23:00.000+04:00,-2.7947268
2021-01-19T18:23:15.000+04:00,-2.791411
2021-01-19T18:23:30.000+04:00,-2.8096287
2021-01-19T18:23:45.000+04:00,-2.7543676
2021-01-19T18:24:00.000+04:00,-2.9311147
2021-01-19T18:24:15.000+04:00,-3.1518579
2021-01-19T18:24:30.000+04:00,-3.116485
2021-01-19T18:24:45.000+04:00,-3.2157838
2021-01-19T18:25:00.000+04:00,-3.3617423
2021-01-19T18:25:15.000+04:00,-3.337348
2021-01-19T18:25:30.000+04:00,-3.3271894
2021-01-19T18:25:45.000+04:00,-3.5234547
2021-01-19T18:26:00.000+04:00,-3.6355321
2021-01-19T18:26:15.000+04:00,-3.77851
2021-01-19T18:26:30.000+04:00,-3.984577
2021-01-19T18:26:45.000+04:00,-3.9503214
2021-01-19T18:27:00.000+04:00,-4.0386324
2021-01-19T18:27:15.000+04:00,-3.9961982
2021-01-19T18:27:30.000+04:00,-4.0423083
2021-01-19T18:27:45.000+04:00,-4.1324515
2021-01-19T18:28:00.000+04:00,-4.133417
2021-01-19T18:28:15.000+04:00,-4.1393948
2021-01-19T18:28:30.000+04:00,-4.331673
2021-01-19T18:28:45.000+04:00,-4.387242
2021-01-19T18:29:00.000+04:00,-4.325891
2021-01-19T18:29:15.000+04:00,-4.4672103
2021-01-19T18:29:30.000+04:00,-4.4998894
2021-01-19T18:29:45.000+04:00,-4.434519
2021-01-19T18:30:00.000+04:00,-4.4918885
2021-01-19T18:30:15.000+04:00,-4.5414886
2021-01-19T18:30:30.000+04:00,-4.6058097
2021-01-19T18:30:45.000+04:00,-4.662642
2021-01-19T18:31:00.000+04:00,-4.605277
2021-01-19T18:31:15.000+04:00,-4.675905
2021-01-19T18:31:30.000+04:00,-4.6613173
2021-01-19T18:31:45.000+04:00,-4.6942053
2021-01-19T18:32:00.000+04:00,-4.7661595
2021-01-19T18:32:15.000+04:00,0.058
2021-01-19T18:32:30.000+04:00,-4.644434
2021-01-19T18:32:45.000+04:00,-4.6761374
2021-01-19T18:33:00.000+04:00,-4.5773745
2021-01-19T18:33:15.000+04:00,-4.5624366
2021-01-19T18:33:30.000+04:00,-4.7677164
2021-01-19T18:33:45.000+04:00,-4.787706
2021-01-19T18:34:00.000+04:00,-4.771498
2021-01-19T18:34:15.000+04:00,-4.8707857
2021-01-19T18:34:30.000+04:00,-4.880861
2021-01-19T18:34:45.000+04:00,-4.9613175
2021-01-19T18:35:00.000+04:00,-5.0364475
2021-01-19T18:35:15.000+04:00,-5.0536456
2021-01-19T18:35:30.000+04:00,-5.1664042
2021-01-19T18:35:45.000+04:00,-5.3205175
2021-01-19T18:36:00.000+04:00,-5.3829794
2021-01-19T18:36:15.000+04:00,-5.4879837
2021-01-19T18:36:30.000+04:00,-5.513224
2021-01-19T18:36:45.000+04:00,-5.442496
2021-01-19T18:37:00.000+04:00,-5.4997926
2021-01-19T18:37:15.000+04:00,-5.5502095
2021-01-19T18:37:30.000+04:00,-5.589641
2021-01-19T18:37:45.000+04:00,-5.4799824
2021-01-19T18:38:00.000+04:00,-5.598929
2021-01-19T18:38:15.000+04:00,-5.569976
2021-01-19T18:38:30.000+04:00,0.0084
2021-01-19T18:38:45.000+04:00,-5.8802533
2021-01-19T18:39:00.000+04:00,-5.911675
2021-01-19T18:39:15.000+04:00,-5.782881
2021-01-19T18:39:30.000+04:00,-5.745766
2021-01-19T18:39:45.000+04:00,-5.8768277
2021-01-19T18:40:00.000+04:00,-5.976962
2021-01-19T18:40:15.000+04:00,-5.9935665
2021-01-19T18:40:30.000+04:00,-6.1100373
2021-01-19T18:40:45.000+04:00,-6.185072
2021-01-19T18:41:00.000+04:00,-6.0937676
2021-01-19T18:41:15.000+04:00,-6.234622
2021-01-19T18:41:30.000+04:00,-6.3545327
2021-01-19T18:41:45.000+04:00,-6.461198
2021-01-19T18:42:00.000+04:00,-6.4258146
2021-01-19T18:42:15.000+04:00,-6.5008826
2021-01-19T18:42:30.000+04:00,-6.4528995
2021-01-19T18:42:45.000+04:00,-6.450164
2021-01-19T18:43:00.000+04:00,-6.3672743
2021-01-19T18:43:15.000+04:00,-0.323
2021-01-19T18:43:30.000+04:00,-6.4234314
2021-01-19T18:43:45.000+04:00,-6.439476
2021-01-19T18:44:00.000+04:00,-6.5207644
2021-01-19T18:44:15.000+04:00,-6.6034956
2021-01-19T18:44:30.000+04:00,-6.64237
2021-01-19T18:44:45.000+04:00,-6.640588
2021-01-19T18:45:00.000+04:00,-6.6190495
2021-01-19T18:45:15.000+04:00,-6.666455
2021-01-19T18:45:30.000+04:00,-6.5752053
2021-01-19T18:45:45.000+04:00,-6.727801
2021-01-19T18:46:00.000+04:00,-6.8154435
2021-01-19T18:46:15.000+04:00,-6.7348337
